maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
CN,925283T,9238337,MONT ST MICHEL,FNMT,227023100,PASSENGERS SHIP,173,35592,UMS,VHF ASN - AIS - VHF PORTATIVE - UHF - VHF AERO - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE FLEET - LRIT - RADAR 9 PAN (BANDE X) - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD),,ACTIVE,11/01/2002,
RI,924332J,9247039,ILE DE SEIN,FOUD,226235000,OTHER,140.2,13978,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - UHF - VHF AERO - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD B - SATELLITE STANDARD C - LRIT - RADAR 9 PAN (BANDE X) - SSAS IRIDIUM L-BAND - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD),,ACTIVE,02/08/2001,
BA,899847V,9257785,SAINT JEAN PPN,FPZI,227146400,FISHING,21,91.41,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - BLU ASN - SATELLITE STANDARD C - SATELLITE FLEET - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,31/01/2002,
LR,B89813Y,,KEOPSYS,FGA9870,227547420,PLEASURE CRAFT,10.11,9.59,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,06/05/2003,
CC,B87645S,,ILONA,FGA9975,227547920,PLEASURE CRAFT,10,9,TX,VHF ASN - AIS - BALISE COSPAS S.  EPIRB - BALISE COSPAS SARSAT PLB - SART (AIS),,ACTIVE,13/05/2003,
MX,B90762E,,EL VELO SOLEX,FGA9985,227547970,PLEASURE CRAFT,11,9,UMS,VHF ASN - AIS - BALISE COSPAS S.  EPIRB,,ACTIVE,13/05/2003,
LR,B89668R,,CHOU FLEUR,FGA9996,227547990,PLEASURE CRAFT,10,9,UMS,VHF ASN - AIS - BALISE COSPAS S.  EPIRB,,ACTIVE,14/05/2003,
LO,B99467S,,CENTUN,FGD2925,227553430,PLEASURE CRAFT,10,9,UMS,VHF ASN - AIS - BALISE COSPAS S.  EPIRB,,ACTIVE,17/07/2003,
BR,909454M,,ARMORIQUE,FQDZ,228155700,BULK,47,495,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SART (REPONDEUR RAD),,ACTIVE,29/08/2002,
BA,924784A,,ROSELAND,FQZK,228168600,FISHING,24.95,169,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,06/03/2003,
